DATE;HOUR;FACT
19.02.2015;5;520,62
19.02.2015;6;140,7
19.02.2015;7;97,92
19.02.2015;8;246,48
19.02.2015;9;136,74
19.02.2015;10;199,56
19.02.2015;11;146,46
19.02.2015;12;130,86
19.02.2015;13;178,44
19.02.2015;14;249,96
19.02.2015;15;73,38
19.02.2015;16;82,86
19.02.2015;17;228,66
19.02.2015;18;149,22
19.02.2015;19;252,9
19.02.2015;20;196,68
19.02.2015;21;145,86
19.02.2015;22;100,56
19.02.2015;23;197,64
20.02.2015;0;236,34
20.02.2015;1;203,52
20.02.2015;2;299,34
20.02.2015;3;364,02
20.02.2015;4;253,44
20.02.2015;5;257,28
20.02.2015;6;274,68
20.02.2015;7;98,28
20.02.2015;8;142,74
20.02.2015;9;341,52
20.02.2015;10;226,38
20.02.2015;11;258,54
20.02.2015;12;275,88
20.02.2015;13;302,82
20.02.2015;14;329,88
20.02.2015;15;180,66
20.02.2015;16;245,64
20.02.2015;17;214,2
20.02.2015;18;308,94
20.02.2015;19;101,94
20.02.2015;20;288,54
20.02.2015;21;157,92
20.02.2015;22;135,12
20.02.2015;23;48,24
21.02.2015;0;151,56
21.02.2015;1;107,04
21.02.2015;2;207,6
21.02.2015;3;74,88
21.02.2015;4;52,98
21.02.2015;5;166,32
21.02.2015;6;132
21.02.2015;7;133,26
21.02.2015;8;305,46
21.02.2015;9;139,44
21.02.2015;10;151,5
21.02.2015;11;28,92
21.02.2015;12;218,7
21.02.2015;13;320,34
21.02.2015;14;268,38
21.02.2015;15;243,12
21.02.2015;16;311,46
21.02.2015;17;232,92
21.02.2015;18;250,98
21.02.2015;19;285,96
21.02.2015;20;192,06
21.02.2015;21;274,26
21.02.2015;22;174
21.02.2015;23;190,08
22.02.2015;0;114,78
22.02.2015;1;199,02
22.02.2015;2;155,1
22.02.2015;3;399,12
22.02.2015;4;266,34
22.02.2015;5;104,28
22.02.2015;6;248,16
22.02.2015;7;110,94
22.02.2015;8;59,82
22.02.2015;9;191,34
22.02.2015;10;147,36
22.02.2015;11;182,58
22.02.2015;12;126,96
22.02.2015;13;230,52
22.02.2015;14;247,02
22.02.2015;15;141,18
22.02.2015;16;53,04
22.02.2015;17;146,88
22.02.2015;18;73,8
22.02.2015;19;40,92
22.02.2015;20;323,1
22.02.2015;21;211,02
22.02.2015;22;29,94
22.02.2015;23;364,08
23.02.2015;0;111,36
23.02.2015;1;488,58
23.02.2015;2;103,08
23.02.2015;3;31,5
23.02.2015;4;769,92
23.02.2015;5;135,96
23.02.2015;6;231,24
23.02.2015;7;112,98
23.02.2015;8;9,72
23.02.2015;9;131,58
23.02.2015;10;194,94
23.02.2015;11;89,4
23.02.2015;12;-8,52
23.02.2015;13;152,64
23.02.2015;14;200,88
23.02.2015;15;118,02
23.02.2015;16;273,6
23.02.2015;17;65,4
23.02.2015;18;59,34
23.02.2015;19;115,26
23.02.2015;20;137,46
23.02.2015;21;50,88
23.02.2015;22;107,76
23.02.2015;23;309,06
24.02.2015;0;83,34
24.02.2015;1;71,76
24.02.2015;2;560,94
24.02.2015;3;85,86
24.02.2015;4;142,98
24.02.2015;5;65,16
24.02.2015;6;152,64
24.02.2015;7;90,66
24.02.2015;8;274,92
24.02.2015;9;288,42
24.02.2015;10;247,14
24.02.2015;11;213,66
24.02.2015;12;134,88
24.02.2015;13;178,92
24.02.2015;14;213,36
24.02.2015;15;243,3
24.02.2015;16;193,14
24.02.2015;17;39,48
24.02.2015;18;302,64
24.02.2015;19;319,26
24.02.2015;20;19,38
24.02.2015;21;128,34
24.02.2015;22;42,66
24.02.2015;23;170,76
25.02.2015;0;261,36
25.02.2015;1;192,42
25.02.2015;2;270,9
25.02.2015;3;106,26
25.02.2015;4;76,68
25.02.2015;5;148,86
25.02.2015;6;86,58
25.02.2015;7;145,98
25.02.2015;8;329,82
25.02.2015;9;195,54
25.02.2015;10;211,86
25.02.2015;11;44,1
25.02.2015;12;244,08
25.02.2015;13;235,14
25.02.2015;14;381,96
25.02.2015;15;226,2
25.02.2015;16;279,54
25.02.2015;17;211,2
25.02.2015;18;185,22
25.02.2015;19;44,28
25.02.2015;20;246,96
25.02.2015;21;160,74
25.02.2015;22;254,16
25.02.2015;23;123,96
26.02.2015;0;70,2
26.02.2015;1;301,98
26.02.2015;2;15,24
26.02.2015;3;340,32
26.02.2015;4;278,46
26.02.2015;5;68,7
26.02.2015;6;269,52
26.02.2015;7;162,42
26.02.2015;8;155,28
26.02.2015;9;157,2
26.02.2015;10;234,06
26.02.2015;11;205,44
26.02.2015;12;83,46
26.02.2015;13;201,48
26.02.2015;14;209,1
26.02.2015;15;209,4
26.02.2015;16;156,96
26.02.2015;17;184,62
26.02.2015;18;195,9
26.02.2015;19;92,94
26.02.2015;20;455,52
26.02.2015;21;176,46
26.02.2015;22;335,76
26.02.2015;23;384,72
27.02.2015;0;168,78
27.02.2015;1;237,9
27.02.2015;2;358,14
27.02.2015;3;222,18
27.02.2015;4;121,5
27.02.2015;5;348,78
27.02.2015;6;52,14
27.02.2015;7;286,92
27.02.2015;8;90,36
27.02.2015;9;129,72
27.02.2015;10;317,52
27.02.2015;11;317,52
27.02.2015;12;171,78
27.02.2015;13;182,04
27.02.2015;14;183,6
27.02.2015;15;298,5
27.02.2015;16;282,42
27.02.2015;17;214,86
27.02.2015;18;63,6
27.02.2015;19;141,24
27.02.2015;20;291,24
27.02.2015;21;181,38
27.02.2015;22;218,34
27.02.2015;23;76,38
28.02.2015;0;230,7
28.02.2015;1;181,56
28.02.2015;2;188,7
28.02.2015;3;111,66
28.02.2015;4;264,18
28.02.2015;5;273
28.02.2015;6;115,26
28.02.2015;7;108,24
28.02.2015;8;252,54
28.02.2015;9;153,06
28.02.2015;10;434,34
28.02.2015;11;292,68
28.02.2015;12;241,2
28.02.2015;13;103,26
28.02.2015;14;74,46
28.02.2015;15;-0,84
28.02.2015;16;297,24
28.02.2015;17;190,62
28.02.2015;18;213
28.02.2015;19;146,52
28.02.2015;20;229,2
28.02.2015;21;158,52
28.02.2015;22;113,28
28.02.2015;23;25,2
01.03.2015;0;257,7
01.03.2015;1;84,24
01.03.2015;2;534,54
01.03.2015;3;65,1
01.03.2015;4;205,5
