Дата;Местное время Тверь;Потребление факт, МВтч;;;
11.01.2017;11:00-12:00;857;11.01.2017;11;857
11.01.2017;12:00-13:00;842;11.01.2017;12;842
11.01.2017;13:00-14:00;849;11.01.2017;13;849
11.01.2017;14:00-15:00;845;11.01.2017;14;845
11.01.2017;15:00-16:00;850;11.01.2017;15;850
11.01.2017;16:00-17:00;867;11.01.2017;16;867
11.01.2017;17:00-18:00;891;11.01.2017;17;891
11.01.2017;18:00-19:00;891;11.01.2017;18;891
11.01.2017;19:00-20:00;851;11.01.2017;19;851
11.01.2017;20:00-21:00;834;11.01.2017;20;834
11.01.2017;21:00-22:00;809;11.01.2017;21;809
11.01.2017;22:00-23:00;758;11.01.2017;22;758
11.01.2017;23:00-24:00;711;11.01.2017;23;711
12.01.2017;00:00-01:00;668;12.01.2017;0;668
12.01.2017;01:00-02:00;647;12.01.2017;1;647
12.01.2017;02:00-03:00;637;12.01.2017;2;637
12.01.2017;03:00-04:00;632;12.01.2017;3;632
12.01.2017;04:00-05:00;636;12.01.2017;4;636
12.01.2017;05:00-06:00;658;12.01.2017;5;658
12.01.2017;06:00-07:00;706;12.01.2017;6;706
12.01.2017;07:00-08:00;771;12.01.2017;7;771
12.01.2017;08:00-09:00;831;12.01.2017;8;831
12.01.2017;09:00-10:00;856;12.01.2017;9;856
12.01.2017;10:00-11:00;861;12.01.2017;10;861
12.01.2017;11:00-12:00;857;12.01.2017;11;857
12.01.2017;12:00-13:00;849;12.01.2017;12;849
12.01.2017;13:00-14:00;855;12.01.2017;13;855
12.01.2017;14:00-15:00;850;12.01.2017;14;850
12.01.2017;15:00-16:00;842;12.01.2017;15;842
12.01.2017;16:00-17:00;857;12.01.2017;16;857
12.01.2017;17:00-18:00;883;12.01.2017;17;883
12.01.2017;18:00-19:00;874;12.01.2017;18;874
12.01.2017;19:00-20:00;858;12.01.2017;19;858
12.01.2017;20:00-21:00;840;12.01.2017;20;840
12.01.2017;21:00-22:00;816;12.01.2017;21;816
12.01.2017;22:00-23:00;772;12.01.2017;22;772
12.01.2017;23:00-24:00;722;12.01.2017;23;722
13.01.2017;00:00-01:00;675;13.01.2017;0;675
13.01.2017;01:00-02:00;651;13.01.2017;1;651
13.01.2017;02:00-03:00;638;13.01.2017;2;638
13.01.2017;03:00-04:00;633;13.01.2017;3;633
13.01.2017;04:00-05:00;636;13.01.2017;4;636
13.01.2017;05:00-06:00;656;13.01.2017;5;656
13.01.2017;06:00-07:00;704;13.01.2017;6;704
13.01.2017;07:00-08:00;767;13.01.2017;7;767
13.01.2017;08:00-09:00;822;13.01.2017;8;822
13.01.2017;09:00-10:00;838;13.01.2017;9;838
13.01.2017;10:00-11:00;839;13.01.2017;10;839
13.01.2017;11:00-12:00;833;13.01.2017;11;833
13.01.2017;12:00-13:00;815;13.01.2017;12;815
13.01.2017;13:00-14:00;819;13.01.2017;13;819
13.01.2017;14:00-15:00;814;13.01.2017;14;814
13.01.2017;15:00-16:00;811;13.01.2017;15;811
13.01.2017;16:00-17:00;817;13.01.2017;16;817
13.01.2017;17:00-18:00;847;13.01.2017;17;847
13.01.2017;18:00-19:00;846;13.01.2017;18;846
13.01.2017;19:00-20:00;832;13.01.2017;19;832
13.01.2017;20:00-21:00;813;13.01.2017;20;813
13.01.2017;21:00-22:00;788;13.01.2017;21;788
13.01.2017;22:00-23:00;739;13.01.2017;22;739
13.01.2017;23:00-24:00;695;13.01.2017;23;695
14.01.2017;00:00-01:00;655;14.01.2017;0;655
14.01.2017;01:00-02:00;625;14.01.2017;1;625
14.01.2017;02:00-03:00;609;14.01.2017;2;609
14.01.2017;03:00-04:00;600;14.01.2017;3;600
14.01.2017;04:00-05:00;604;14.01.2017;4;604
14.01.2017;05:00-06:00;616;14.01.2017;5;616
14.01.2017;06:00-07:00;635;14.01.2017;6;635
14.01.2017;07:00-08:00;664;14.01.2017;7;664
14.01.2017;08:00-09:00;702;14.01.2017;8;702
14.01.2017;09:00-10:00;723;14.01.2017;9;723
14.01.2017;10:00-11:00;738;14.01.2017;10;738
14.01.2017;11:00-12:00;744;14.01.2017;11;744
14.01.2017;12:00-13:00;742;14.01.2017;12;742
14.01.2017;13:00-14:00;736;14.01.2017;13;736
14.01.2017;14:00-15:00;732;14.01.2017;14;732
14.01.2017;15:00-16:00;730;14.01.2017;15;730
14.01.2017;16:00-17:00;751;14.01.2017;16;751
14.01.2017;17:00-18:00;791;14.01.2017;17;791
14.01.2017;18:00-19:00;795;14.01.2017;18;795
14.01.2017;19:00-20:00;782;14.01.2017;19;782
14.01.2017;20:00-21:00;768;14.01.2017;20;768
14.01.2017;21:00-22:00;748;14.01.2017;21;748
14.01.2017;22:00-23:00;711;14.01.2017;22;711
14.01.2017;23:00-24:00;673;14.01.2017;23;673
15.01.2017;00:00-01:00;637;15.01.2017;0;637
15.01.2017;01:00-02:00;603;15.01.2017;1;603
15.01.2017;02:00-03:00;591;15.01.2017;2;591
15.01.2017;03:00-04:00;585;15.01.2017;3;585
15.01.2017;04:00-05:00;584;15.01.2017;4;584
15.01.2017;05:00-06:00;589;15.01.2017;5;589
15.01.2017;06:00-07:00;603;15.01.2017;6;603
15.01.2017;07:00-08:00;624;15.01.2017;7;624
15.01.2017;08:00-09:00;653;15.01.2017;8;653
15.01.2017;09:00-10:00;674;15.01.2017;9;674
15.01.2017;10:00-11:00;697;15.01.2017;10;697
15.01.2017;11:00-12:00;706;15.01.2017;11;706
15.01.2017;12:00-13:00;707;15.01.2017;12;707
15.01.2017;13:00-14:00;699;15.01.2017;13;699
15.01.2017;14:00-15:00;702;15.01.2017;14;702
15.01.2017;15:00-16:00;708;15.01.2017;15;708
15.01.2017;16:00-17:00;728;15.01.2017;16;728
15.01.2017;17:00-18:00;773;15.01.2017;17;773
15.01.2017;18:00-19:00;777;15.01.2017;18;777
15.01.2017;19:00-20:00;766;15.01.2017;19;766
15.01.2017;20:00-21:00;756;15.01.2017;20;756
15.01.2017;21:00-22:00;730;15.01.2017;21;730
