Дата;Местное время Тверь;Потребление факт, МВтч;DATE;HOUR;FACT
10.01.2016;11:00-12:00;749;10.01.2016;11;749
10.01.2016;12:00-13:00;746;10.01.2016;12;746
10.01.2016;13:00-14:00;742;10.01.2016;13;742
10.01.2016;14:00-15:00;737;10.01.2016;14;737
10.01.2016;15:00-16:00;736;10.01.2016;15;736
10.01.2016;16:00-17:00;767;10.01.2016;16;767
10.01.2016;17:00-18:00;819;10.01.2016;17;819
10.01.2016;18:00-19:00;825;10.01.2016;18;825
10.01.2016;19:00-20:00;819;10.01.2016;19;819
10.01.2016;20:00-21:00;809;10.01.2016;20;809
10.01.2016;21:00-22:00;788;10.01.2016;21;788
10.01.2016;22:00-23:00;747;10.01.2016;22;747
10.01.2016;23:00-24:00;701;10.01.2016;23;701
11.01.2016;00:00-01:00;660;11.01.2016;0;660
11.01.2016;01:00-02:00;632;11.01.2016;1;632
11.01.2016;02:00-03:00;619;11.01.2016;2;619
11.01.2016;03:00-04:00;615;11.01.2016;3;615
11.01.2016;04:00-05:00;621;11.01.2016;4;621
11.01.2016;05:00-06:00;642;11.01.2016;5;642
11.01.2016;06:00-07:00;697;11.01.2016;6;697
11.01.2016;07:00-08:00;767;11.01.2016;7;767
11.01.2016;08:00-09:00;829;11.01.2016;8;829
11.01.2016;09:00-10:00;855;11.01.2016;9;855
11.01.2016;10:00-11:00;867;11.01.2016;10;867
11.01.2016;11:00-12:00;865;11.01.2016;11;865
11.01.2016;12:00-13:00;850;11.01.2016;12;850
11.01.2016;13:00-14:00;852;11.01.2016;13;852
11.01.2016;14:00-15:00;849;11.01.2016;14;849
11.01.2016;15:00-16:00;850;11.01.2016;15;850
11.01.2016;16:00-17:00;867;11.01.2016;16;867
11.01.2016;17:00-18:00;900;11.01.2016;17;900
11.01.2016;18:00-19:00;898;11.01.2016;18;898
11.01.2016;19:00-20:00;886;11.01.2016;19;886
11.01.2016;20:00-21:00;867;11.01.2016;20;867
11.01.2016;21:00-22:00;840;11.01.2016;21;840
11.01.2016;22:00-23:00;790;11.01.2016;22;790
11.01.2016;23:00-24:00;738;11.01.2016;23;738
12.01.2016;00:00-01:00;693;12.01.2016;0;693
12.01.2016;01:00-02:00;664;12.01.2016;1;664
12.01.2016;02:00-03:00;652;12.01.2016;2;652
12.01.2016;03:00-04:00;645;12.01.2016;3;645
12.01.2016;04:00-05:00;646;12.01.2016;4;646
12.01.2016;05:00-06:00;667;12.01.2016;5;667
12.01.2016;06:00-07:00;717;12.01.2016;6;717
12.01.2016;07:00-08:00;787;12.01.2016;7;787
12.01.2016;08:00-09:00;851;12.01.2016;8;851
12.01.2016;09:00-10:00;874;12.01.2016;9;874
12.01.2016;10:00-11:00;879;12.01.2016;10;879
12.01.2016;11:00-12:00;873;12.01.2016;11;873
