fact,pred
172731,165443.671875
165998,170883.703125
207082,191821.390625
202325,186638.078125
193847,188268.09375
170639,170574.5
162417,163339.453125
192028,201357.890625
190193,178572.4375
190393,186522.078125
178242,183948.609375
160616,163510.578125
164765,164234.46875
194356,191379.015625
164861,170644.140625
167867,158430.625
162194,162062.609375
173593,184894.3125
177367,193684.4375
159950,158457.8125
203808,200222.75
191600,188301.671875
182717,179571.125
172646,168585.328125
171277,179155.984375
179890,187194.25
189853,182605.03125
163049,165012.859375
186124,188495.359375
211192,198764.46875
178261,166490.359375
198321,194560.28125
191400,191801.28125
169228,170482.296875
192275,189763.15625
184149,192169.65625
179314,177882.53125
194045,177906.4375
200578,185884.5625
194226,192122.015625
196882,190647.265625
182460,173345.9375
165847,171025.375
166585,165940.3125
195545,195348.96875
196636,185012.484375
186804,183433.75
201811,191609.125
202189,188608.640625
162770,172204.25
207202,204752.65625
189881,194738.859375
164629,177576.75
162604,169525.90625
176102,172541.90625
186240,181677.984375
222403,191026.1875
212267,192130.8125
193761,189784.875
190237,191981.171875
164778,164631.53125
203913,194609.078125
198927,193002.75
177840,181628.609375
176295,175292.96875
183737,185893.078125
180652,189310.359375
193140,199459.265625
177147,184708.90625
162350,174728
151483,162570.65625
157208,160959.3125
171957,181287
157541,165393.96875
167842,163375.4375
191153,198643.765625
169415,188918.09375
185036,168207.125
180496,167111.0625
178743,189017.578125
198847,184759.296875
189280,183294.734375
160121,157464.78125
166000,163961.0625
193385,196342.21875
171173,182251.515625
167033,168703.6875
164669,160320.46875
169055,166500.203125
172549,183685.140625
185576,183631.890625
186531,182404.875
180346,179416.734375
161065,166201.46875
189190,191633.796875
184694,177991.46875
183520,179194.421875
183376,184573.3125
181587,179344.1875
162983,170207.265625
182711,188350.703125
187846,172850.703125
188407,177256.96875
191700,183691.265625
176153,179954.28125
161662,154734.3125
177547,169185.59375
166276,176409.046875
153929,155860.625
162883,157307.328125
191456,188569.609375
185584,181108.84375
186788,173040.21875
180384,182091.859375
179879,180947.9375
143558,154510.171875
174956,162799.03125
177316,176684.328125
196388,185160.578125
160578,154776.515625
169033,155802.375
137147,154905.4375
179417,171849.0625
171429,170834.328125
155064,162835.21875
156636,152335.515625
162400,158814.25
180804,168067.609375
182553,180776.84375
178598,169997.671875
174481,167351.25
188635,182790.078125
179515,178623.1875
162894,175393.140625
154022,152886.390625
142997,154421.34375
159759,167783.515625
170907,179093.125
170935,175982.40625
156040,166446.546875
137655,157177.765625
140522,150446.359375
141407,163505.578125
154240,172595.21875
179608,182369.5625
171351,182640.5625
166071,168666.6875
148917,156695.984375
164401,177119.921875
181405,187538.9375
179964,172228.71875
159591,165987.3125
172389,176816.484375
159545,176181.90625
173154,172932.328125
168777,161300.296875
139622,152699.875
138123,149533.328125
159536,157612.171875
171885,171314.46875
164384,171035.65625
159776,165923.0625
165814,165639.75
167641,177681.78125
153531,176461.546875
157348,156361.75
150817,150394.71875
156160,163055.25
170485,166512.75
150106,164218.65625
132724,143977.84375
136691,152356.734375
155275,168933.921875
169592,165813.4375
165326,169657.0625
173742,162740.359375
150247,145988.203125
147239,142749
146396,145600.84375
158904,163148.890625
170154,170607.203125
175909,170227.390625
168154,160605.40625
145692,149254.09375
172372,171088.515625
175806,162760.0625
148048,145139.1875
151725,142656.3125
149516,146737.203125
181909,179129.84375
153973,162637.640625
129094,127353.8203125
150041,148101.484375
177185,166824.28125
171852,165896.640625
171906,161269.21875
160104,153820.921875
141857,147776.703125
169103,164673.765625
182029,171742.734375
148403,147374.890625
154946,150591.484375
164679,156937.96875
176192,173853.046875
149333,150265.546875
146516,147356.203125
147883,151372.328125
146388,152358.328125
162927,162728.5625
170649,172923.09375
172007,175485.65625
153735,159426.109375
120985,138570.59375
185096,184525.09375
176364,178115.765625
149023,162234.875
146318,160581.359375
150242,155231.21875
180292,170887.765625
178855,165132.5
171002,166671.9375
174602,174948.09375
147775,156274.84375
154705,151054.9375
179709,174515.515625
170792,174076.515625
173492,173887.53125
187312,182490.828125
178403,180568.53125
168983,182788.5
151291,149817.671875
160682,148668.515625
170564,168929.40625
149216,158115.453125
143354,132456.203125
154222,141391.953125
176906,162807.265625
182555,171844.796875
190210,172894.234375
172799,172138.078125
167144,173604.03125
157916,171106.78125
144634,144665.609375
177243,173275.703125
142373,144791.484375
184677,176197.359375
164683,172018.609375
186665,173071.234375
147470,149281.5625
170955,172873.625
166421,171696.71875
169153,171391.109375
153070,148685.8125
146080,145626.53125
185170,177002.0625
181264,185545.21875
151044,161392.3125
144750,146374.796875
144062,155322.734375
169511,168927.15625
169089,175918.984375
166437,165161.640625
169392,175469.09375
151695,156421.71875
154044,172123.953125
179890,178722.703125
184492,181654.25
151431,152370.53125
159721,161587.75
188807,185277.34375
177411,177292.296875
176720,173671.59375
168053,168399.25
150498,168227.171875
166035,167483.453125
169858,178554.890625
177623,178378.5625
142274,150739.484375
177068,175206.90625
179511,176674.390625
184858,167514.59375
180121,181354.625
166076,174628.890625
172575,175164.125
166340,173913.078125
132819,144715.28125
129985,139086.140625
121322,130364.609375
129669,142586.953125
156823,165119.4375
171780,172363.953125
157879,167977.5625
164782,164843.296875
149504,143839.921875
137232,153313.765625
179887,175358.34375
169421,165541.359375
163366,154739.765625
148646,153542.890625
158797,167119.03125
158411,173738.84375
160727,162452.5625
141937,145404.21875
131055,140895.515625
165849,165691.5625
178019,170217.328125
147513,141685.796875
168036,157692.453125
168953,162322.46875
147457,152005.515625
173019,152671.921875
167706,175526.171875
176728,176412.234375
185896,176152.671875
181287,172652.515625
179098,172200.640625
155607,146699.703125
187352,180548.203125
172189,157969.859375
162757,155619.28125
172867,170558.40625
170297,172587.8125
175441,171466.15625
142634,158263.296875
139203,144030.984375
142320,147256.3125
147558,158184.078125
180626,171074.796875
177489,164659.15625
155458,155518.390625
163164,157714.703125
173590,176560.859375
174301,173780.765625
154847,162873.734375
146411,151925.65625
182674,169386.4375
163577,163598.859375
163194,161768.453125
169645,168573.265625
160095,172393.546875
176466,173239.515625
176426,167711.375
142140,141282.359375
157077,155028.6875
130394,138494.359375
144784,139526.953125
176155,169915.8125
177480,167942.484375
151143,156450.359375
150791,141433.75
182421,176425.03125
178387,168318.15625
139252,142586.953125
151785,150715.625
153856,157627.203125
163763,169726.328125
153301,168146.65625
149986,141035.875
157800,156719.609375
154919,157238.484375
136206,147118.1875
129632,133898.484375
137491,153294.609375
150551,163262.984375
153666,164196.09375
160434,163769.953125
172991,165326.484375
160617,161215.703125
144195,134605.609375
152091,153476.875
191334,173767.671875
141546,141630.28125
156280,164205.65625
172640,160613.53125
167001,163175.34375
165424,160009.328125
133087,135051.53125
152098,149606.515625
128761,140858.71875
187534,167273.0625
168756,169517.328125
151218,144876.984375
146148,142750.359375
161099,151562.578125
161418,160711.890625
162466,165762.0625
166821,158733.25
157556,157425.890625
169250,168618.609375
167609,170575.15625
176376,169078.65625
173765,167039.203125
150146,139097.15625
146633,139466.015625
172063,164479.921875
170683,163305.5
160452,160842.84375
168208,160500.984375
156537,161395.53125
