date,Fact_sum
2016-05-16,11268.009
2016-05-15,11589.064
2016-05-14,11511.746
2016-05-13,11629.187
2016-05-12,11656.403
2016-05-11,11753.525
2016-05-10,11957.154
2016-05-09,12068.222
2016-05-08,12235.769
2016-05-07,12354.253
2016-05-06,12573.66
2016-05-05,12583.44
2016-05-04,12527.784
2016-05-03,12618.518
2016-05-02,12755.114
2016-05-01,12840.482
2016-04-30,12692.461
2016-04-29,12848.573
2016-04-28,12933.9
2016-04-27,13094.177
2016-04-26,13128.801
2016-04-25,13274.759
2016-04-24,13391.76
2016-04-23,13592.881
2016-04-22,13888.231
2016-04-21,13916.972
2016-04-20,14072.317
2016-04-19,14178.534
2016-04-18,14386.542
2016-04-17,14585.688
2016-04-16,14853.008
2016-04-15,14642.928
2016-04-14,14817.433
2016-04-13,14837.45
2016-04-12,14971.699
2016-04-11,15184.325
2016-04-10,15263.552
2016-04-09,15530.109
2016-04-08,15627.338
2016-04-07,15897.261
2016-04-06,15986.695
2016-04-05,15953.048
2016-04-04,16307.364
2016-04-03,16436.9
2016-04-02,16573.62
2016-04-01,16861.858
2016-03-31,16789.622
2016-03-30,57051.113
2016-03-29,16814.159
2016-03-28,16942.722
2016-03-27,17028.065
2016-03-26,17122.386
2016-03-25,17399.786
2016-03-24,17519.452
2016-03-23,17675.494
2016-03-22,17724.652
2016-03-21,17855.046
2016-03-20,17997.89
2016-03-19,18180.309
2016-03-18,18165.371
2016-03-17,18363.716
2016-03-16,18399.027
2016-03-15,18495.825
2016-03-14,18640.309
2016-03-13,18794.559
2016-03-12,18940.367
2016-03-11,19159.911
2016-03-10,19163.197
2016-03-09,19416.539
2016-03-08,19397.327
2016-03-07,19506.741
2016-03-06,19816.977
2016-03-05,19978.806
2016-03-04,20273.67
2016-03-03,20406.638
2016-03-02,20522.167
2016-03-01,20502.836
2016-02-29,20562.252
2016-02-28,20598.941
2016-02-27,20759.889
2016-02-26,21125.861
2016-02-25,64775.468
2016-02-24,20916.152
2016-02-23,20652.066
2016-02-22,21109.538
2016-02-21,21570.695
2016-02-20,22029.926
2016-02-19,22104.931
2016-02-18,22314.363
2016-02-17,22347.91
2016-02-16,22680.013
2016-02-15,22166.147
2016-02-14,22309.138
2016-02-13,22580.967
2016-02-12,22425.419
2016-02-11,22702.559
2016-02-10,22415.143
2016-02-09,22995.299
2016-02-08,23330.081
2016-02-07,23340.558
2016-02-06,23637.233
2016-02-05,23932.092
2016-02-04,23726.763
2016-02-03,23464.047
2016-02-02,23954.164
2016-02-01,24333.671
2016-01-31,24035.58
2016-01-30,24166.358
2016-01-29,24384.768
2016-01-28,23962.361
2016-01-27,23918.487
2016-01-26,23911.844
2016-01-25,23907.754
2016-01-24,24008.513
2016-01-23,24191.919
2016-01-22,24406.319
2016-01-21,24546.082
2016-01-20,24949.818
2016-01-19,24951.998
2016-01-18,24679.382
2016-01-17,24253.492
2016-01-16,24854.151
2016-01-15,25343.138
2016-01-14,25214.833
2016-01-13,25160.485
2016-01-12,25038.689
2016-01-11,25274.299
2016-01-10,25443.145
2016-01-09,25322.454
2016-01-08,24950.216
2016-01-07,24840.41
2016-01-06,24884.197
2016-01-05,24942.433
2016-01-04,24927.758
2016-01-03,24976.712
2016-01-02,25075.897
2016-01-01,25167.215
