date;fact
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,036
29.12.2017;0,036
29.12.2017;0,095
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,087
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,108
29.12.2017;0,000
29.12.2017;0,001
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,669
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,089
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,111
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,098
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,001
29.12.2017;0,080
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,118
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,100
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,084
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,001
29.12.2017;0,000
29.12.2017;0,116
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,000
29.12.2017;0,100
29.12.2017;0,090
29.12.2017;0,833
29.12.2017;5,491
29.12.2017;2,312
29.12.2017;3,179
29.12.2017;2,380
29.12.2017;0,772
29.12.2017;1,262
29.12.2017;1,858
29.12.2017;0,096
29.12.2017;0,144
29.12.2017;0,098
29.12.2017;0,534
29.12.2017;1,942
29.12.2017;1,330
29.12.2017;1,157
29.12.2017;0,757
29.12.2017;1,107
29.12.2017;1,168
29.12.2017;3,977
29.12.2017;269,104
29.12.2017;267,648
29.12.2017;267,817
29.12.2017;269,475
29.12.2017;268,541
29.12.2017;269,050
29.12.2017;270,195
29.12.2017;269,104
29.12.2017;267,691
29.12.2017;270,819
29.12.2017;267,701
29.12.2017;270,582
29.12.2017;270,538
29.12.2017;269,916
29.12.2017;269,083
29.12.2017;269,986
29.12.2017;269,851
29.12.2017;271,226
29.12.2017;270,230
29.12.2017;270,651
29.12.2017;270,600
29.12.2017;272,219
29.12.2017;271,159
29.12.2017;269,146
29.12.2017;785,096
29.12.2017;537,498
29.12.2017;269,896
29.12.2017;272,086
29.12.2017;272,169
29.12.2017;273,143
29.12.2017;272,296
29.12.2017;272,338
29.12.2017;273,410
29.12.2017;272,788
29.12.2017;272,013
29.12.2017;276,022
29.12.2017;273,430
29.12.2017;270,493
29.12.2017;271,545
29.12.2017;271,211
29.12.2017;272,653
29.12.2017;272,769
29.12.2017;271,365
29.12.2017;273,704
29.12.2017;271,041
29.12.2017;271,585
29.12.2017;272,574
29.12.2017;271,260
29.12.2017;273,253
29.12.2017;262,839
29.12.2017;276,908
28.12.2017;562,170
28.12.2017;270,966
28.12.2017;271,814
28.12.2017;269,638
28.12.2017;270,316
28.12.2017;274,658
28.12.2017;268,661
28.12.2017;270,176
28.12.2017;271,888
28.12.2017;268,802
28.12.2017;268,533
28.12.2017;270,041
28.12.2017;272,052
28.12.2017;269,752
28.12.2017;269,703
28.12.2017;269,409
28.12.2017;269,714
28.12.2017;269,433
28.12.2017;270,494
28.12.2017;270,651
28.12.2017;269,110
28.12.2017;269,426
28.12.2017;268,932
28.12.2017;270,381
28.12.2017;267,095
28.12.2017;267,357
28.12.2017;270,157
28.12.2017;270,208
28.12.2017;266,087
28.12.2017;265,965
28.12.2017;267,379
28.12.2017;267,468
28.12.2017;267,360
28.12.2017;270,659
28.12.2017;267,037
28.12.2017;267,938
28.12.2017;267,966
28.12.2017;267,942
28.12.2017;267,774
28.12.2017;267,944
28.12.2017;270,852
28.12.2017;268,356
28.12.2017;270,687
28.12.2017;267,243
28.12.2017;269,956
28.12.2017;271,782
28.12.2017;275,417
28.12.2017;194,492
28.12.2017;1,063
28.12.2017;2,083
28.12.2017;1,435
28.12.2017;1,573
28.12.2017;1,035
28.12.2017;1,019
28.12.2017;1,159
28.12.2017;1,139
28.12.2017;1,446
28.12.2017;3,181
28.12.2017;2,436
28.12.2017;1,447
28.12.2017;3,907
28.12.2017;2,695
28.12.2017;1,621
28.12.2017;2,374
28.12.2017;2,416
28.12.2017;1,477
28.12.2017;1,492
28.12.2017;1,493
28.12.2017;1,484
28.12.2017;1,497
28.12.2017;1,496
28.12.2017;1,483
28.12.2017;3,078
28.12.2017;1,564
28.12.2017;1,570
28.12.2017;5,126
28.12.2017;1,771
28.12.2017;6,181
28.12.2017;0,739
28.12.2017;0,113
28.12.2017;0,335
28.12.2017;4,013
28.12.2017;301,481
28.12.2017;266,260
28.12.2017;266,243
28.12.2017;266,758
28.12.2017;268,315
28.12.2017;266,449
28.12.2017;269,649
28.12.2017;266,967
28.12.2017;267,938
28.12.2017;267,357
